Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
13858923,1FFF6200,true,Rx,0,8,10,FF,31,FB,4A,07,FA,00,
15052093,1FFF6200,true,Rx,0,8,10,FF,31,FB,4A,07,FA,01,
16315285,13106226,true,Rx,0,8,A2,00,00,03,31,00,E5,B4,
20120471,13106226,true,Rx,0,8,C3,00,FA,07,4A,FB,00,01,
24777279,13106226,true,Rx,0,8,F0,00,00,01,00,00,00,00,
25120022,13106226,true,Rx,0,8,C3,00,FA,07,4A,FB,00,02,
26586323,13106226,true,Rx,0,8,A8,00,00,00,00,00,00,00,
26851874,1FFF6200,true,Rx,0,3,11,31,31,00,00,00,00,00,
30119987,13106226,true,Rx,0,8,C3,00,FA,07,4A,FB,00,03,
35120421,13106226,true,Rx,0,8,C3,00,FA,07,4A,FB,00,04,
36928318,13106226,true,Rx,0,8,A7,00,00,00,00,00,00,00,
40120456,13106226,true,Rx,0,8,C3,00,FA,07,4A,FB,00,05,
45120098,13106226,true,Rx,0,8,C3,00,FA,07,4A,FB,00,06,
45876854,13106226,true,Rx,0,8,F0,00,00,0E,00,00,00,00,
46851742,1FFF6200,true,Rx,0,3,11,31,31,00,00,00,00,00,
50120210,13106226,true,Rx,0,8,C3,00,FA,07,4A,FB,00,07,
54877061,13106226,true,Rx,0,8,F0,00,00,01,00,00,00,00,
55119917,13106226,true,Rx,0,8,C3,00,FA,07,4A,FB,00,08,
60119879,13106226,true,Rx,0,8,C3,00,FA,07,4A,FB,00,09,
65120076,13106226,true,Rx,0,8,C3,00,FA,07,4A,FB,00,0A,
66851661,1FFF6200,true,Rx,0,3,11,31,31,00,00,00,00,00,
70120186,13106226,true,Rx,0,8,C3,00,FA,07,4A,FB,00,0B,
75120141,13106226,true,Rx,0,8,C3,00,FA,07,4A,FB,00,0C,
75976739,13106226,true,Rx,0,8,F0,00,00,0E,00,00,00,00,
76877091,13106226,true,Rx,0,4,C7,00,00,03,00,00,00,00,
80119907,13106226,true,Rx,0,8,C3,00,FA,07,4A,FB,00,0D,
84252962,13106226,true,Rx,0,4,C7,00,00,01,00,00,00,00,
85119913,13106226,true,Rx,0,8,C3,00,FA,07,4A,FB,00,0E,
85447111,13106226,true,Rx,0,8,F0,00,00,01,00,00,00,00,
86685808,13106226,true,Rx,0,8,A8,00,00,00,00,00,00,00,
86851951,1FFF6200,true,Rx,0,3,11,31,31,00,00,00,00,00,
90119904,13106226,true,Rx,0,8,C3,00,FA,07,4A,FB,00,0F,
95120139,13106226,true,Rx,0,8,C3,00,FA,07,4A,FB,00,10,
97546710,13106226,true,Rx,0,8,A7,00,00,00,00,00,00,00,
100119745,13106226,true,Rx,0,8,C3,00,FA,07,4A,FB,00,11,
105120185,13106226,true,Rx,0,8,C3,00,FA,07,4A,FB,00,12,
106546869,13106226,true,Rx,0,8,F0,00,00,0E,00,00,00,00,
106851995,1FFF6200,true,Rx,0,3,11,31,31,00,00,00,00,00,
110119982,13106226,true,Rx,0,8,C3,00,FA,07,4A,FB,00,13,
115119866,13106226,true,Rx,0,8,C3,00,FA,07,4A,FB,00,14,
115546746,13106226,true,Rx,0,8,F0,00,00,01,00,00,00,00,
120120062,13106226,true,Rx,0,8,C3,00,FA,07,4A,FB,00,15,
125119966,13106226,true,Rx,0,8,C3,00,FA,07,4A,FB,00,16,
126851864,1FFF6200,true,Rx,0,3,11,31,31,00,00,00,00,00,
130165035,13106226,true,Rx,0,8,C3,00,FA,07,4A,FB,00,17,
135119840,13106226,true,Rx,0,8,C3,00,FA,07,4A,FB,00,18,
136650958,13106226,true,Rx,0,8,F0,00,00,0E,00,00,00,00,
